study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Pastry,0,0,0,1,1.9492692,,,,,,,,,,,,0,0,0,9,,,,,0.0214375,,0.013173,0.0214375,0.0214375,1.9784335,1,1.9492692,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
phone,1,1,0,1,1.0296318,,,,,,,,,,,,0,1,1,2,,,,,1.9944013,,1.9841075,1.9944013,1.9944013,3.0288549,1,1.0296318,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
Police,2,2,0,5,1.8959273,,,,,,,,,,,,0,2,2,12,,,,,3.0445542,,3.0337074,3.0445542,3.0445542,4.9455389,5,1.8959273,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
Keys,3,3,0,1,2.0297326,,,,,,,,,,,,0,3,3,13,,,,,4.9614332,,4.950712,4.9614332,4.9614332,6.9960031,1,2.0297326,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
book,4,4,0,1,1.127385,,,,,,,,,,,,0,4,4,0,,,,,7.0152393,,7.003043,7.0152393,7.0152393,8.1458813,1,1.127385,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
Chart,5,5,0,1,0.9118502,,,,,,,,,,,,0,5,5,6,,,,,8.1643425,,8.1523429,8.1643425,8.1643425,9.079613,1,0.9118502,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
mouse,6,6,0,1.066666667,1.1765758,,,,,,,,,,,,0,6,6,8,,,,,9.0997629,,9.0874209,9.0997629,9.0997629,10.279717,1.066666667,1.1765758,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
Case,7,7,0,5,2.1114558,,,,,,,,,,,,0,7,7,10,,,,,10.2978082,,10.2860862,10.2978082,10.2978082,12.4128228,5,2.1114558,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
T-shirt,8,8,0,1,1.39166,,,,,,,,,,,,0,8,8,7,,,,,12.4343333,,12.4223592,12.4343333,12.4343333,13.8294517,1,1.39166,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
Laptop,9,9,0,1,0.8259411,,,,,,,,,,,,0,9,9,5,,,,,13.8500374,,13.8376231,13.8500374,13.8500374,14.6793051,1,0.8259411,,,,,,,,,,,,,,,,Participant-3,1,2025-10-13_21h34.57.616,untitled,,2025.1.1,59.9357969,2025-10-13 21h35.09.684624 +0530
