study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Cruise,0,0,0,1.107407407,5.0392745,,,,,,,,,,,,0,0,0,11,,,,,0.0397461,,0.0323835,0.0397461,0.0397461,5.0874611,1.107407407,5.0392745,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
Pastry,1,1,0,1.107407407,1.786927,,,,,,,,,,,,0,1,1,9,,,,,5.1147283,,5.1019929,5.1147283,5.1147283,6.9043669,1.107407407,1.786927,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
book,2,2,0,1.003703704,1.9428824,,,,,,,,,,,,0,2,2,0,,,,,6.9216004,,6.9119955,6.9216004,6.9216004,8.8710554,1.003703704,1.9428824,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
T-shirt,3,3,0,1.003703704,0.9730442,,,,,,,,,,,,0,3,3,7,,,,,8.8944999,,8.883019,8.8944999,8.8944999,9.8714098,1.003703704,0.9730442,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
marble,4,4,0,1.003703704,0.8100713,,,,,,,,,,,,0,4,4,3,,,,,9.8912977,,9.8792788,9.8912977,9.8912977,10.7045934,1.003703704,0.8100713,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
Poster,5,5,0,5,1.9454228,,,,,,,,,,,,0,5,5,14,,,,,10.7228551,,10.7096064,10.7228551,10.7228551,12.6705381,5,1.9454228,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
Police,6,6,0,4.92962963,3.3462246,,,,,,,,,,,,0,6,6,12,,,,,12.6880446,,12.6758211,12.6880446,12.6880446,16.0375791,4.92962963,3.3462246,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
mouse,7,7,0,1.1,1.7618799,,,,,,,,,,,,0,7,7,8,,,,,16.0551633,,16.0429896,16.0551633,16.0551633,17.8209368,1.1,1.7618799,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
phone,8,8,0,1.1,0.9227758,,,,,,,,,,,,0,8,8,2,,,,,17.8445293,,17.8323402,17.8445293,17.8445293,18.7709517,1.1,0.9227758,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
Chart,9,9,0,1.1,0.9615713,,,,,,,,,,,,0,9,9,6,,,,,18.7880868,,18.7771666,18.7880868,18.7880868,19.7547482,1.1,0.9615713,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
Case,10,10,0,1.1,0.7450815,,,,,,,,,,,,0,10,10,10,,,,,19.7726391,,19.759859,19.7726391,19.7726391,20.5203957,1.1,0.7450815,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
board,11,11,0,1.1,1.0600134,,,,,,,,,,,,0,11,11,4,,,,,20.540505,,20.5284065,20.540505,20.540505,21.6045271,1.1,1.0600134,,,,,,,,,,,,,,,,Partcipant-2,1,2025-10-13_21h30.55.713,untitled,,2025.1.1,59.95074454,2025-10-13 21h31.09.877237 +0530
